309.505, 129.492, 4.061,  4.379 False
309.369, 129.491, 4.092,  4.412 False
309.232, 129.491, 4.122,  4.445 False
309.094, 129.491, 4.153,  4.478 False
308.955, 129.491, 4.184,  4.511 False
308.815, 129.490, 4.216,  4.544 False
308.673, 129.490, 4.246,  4.577 False
308.531, 129.490, 4.277,  4.610 False
308.388, 129.490, 4.307,  4.643 False
308.243, 129.490, 4.338,  4.676 False
308.098, 129.490, 4.368,  4.709 False
307.952, 129.490, 4.398,  4.742 False
307.804, 129.489, 4.429,  4.775 False
307.656, 129.489, 4.459,  4.808 False
307.506, 129.489, 4.489,  4.841 False
307.356, 129.489, 4.519,  4.874 False
307.205, 129.489, 4.549,  4.907 False
307.052, 129.489, 4.579,  4.940 False
306.899, 129.489, 4.609,  4.973 False
306.744, 129.489, 4.640,  5.006 False
306.589, 129.489, 4.670,  5.039 False
306.433, 129.488, 4.700,  5.072 False
306.275, 129.488, 4.730,  5.105 False
306.117, 129.488, 4.760,  5.138 False
305.957, 129.488, 4.790,  5.171 False
305.797, 129.488, 4.821,  5.204 False
305.635, 129.488, 4.851,  5.237 False
305.473, 129.488, 4.881,  5.270 False
305.310, 129.488, 4.910,  5.303 False
305.145, 129.488, 4.940,  5.336 False
304.980, 129.488, 4.970,  5.369 False
304.814, 129.490, 4.994,  5.402 False
304.646, 129.496, 5.020,  5.435 False
304.478, 129.504, 5.051,  5.468 False
304.309, 129.511, 5.085,  5.501 False
304.139, 129.519, 5.116,  5.534 False
303.968, 129.528, 5.147,  5.567 False
303.796, 129.539, 5.173,  5.600 False
303.624, 129.551, 5.190,  5.633 False
303.451, 129.563, 5.195,  5.666 False
303.279, 129.576, 5.199,  5.699 False
303.106, 129.590, 5.210,  5.732 False
302.933, 129.605, 5.226,  5.765 False
302.759, 129.621, 5.245,  5.798 False
302.584, 129.638, 5.270,  5.831 False
302.409, 129.654, 5.303,  5.864 False
302.232, 129.670, 5.338,  5.897 False
302.053, 129.688, 5.375,  5.930 False
301.874, 129.705, 5.413,  5.963 False
301.693, 129.724, 5.452,  5.996 False
301.511, 129.742, 5.491,  6.029 False
301.328, 129.762, 5.530,  6.062 False
301.144, 129.782, 5.568,  6.095 False
300.959, 129.804, 5.607,  6.128 False
300.772, 129.826, 5.644,  6.161 False
300.584, 129.848, 5.681,  6.194 False
300.396, 129.872, 5.716,  6.227 False
300.206, 129.896, 5.752,  6.260 False
300.015, 129.921, 5.787,  6.293 False
299.822, 129.946, 5.823,  6.326 False
299.629, 129.970, 5.858,  6.359 False
299.434, 129.995, 5.892,  6.392 False
299.239, 130.020, 5.926,  6.425 False
299.042, 130.046, 5.959,  6.458 False
298.844, 130.072, 5.992,  6.491 False
298.646, 130.099, 6.025,  6.524 False
298.446, 130.125, 6.057,  6.557 False
298.245, 130.153, 6.089,  6.590 False
298.043, 130.182, 6.121,  6.623 False
297.841, 130.211, 6.153,  6.656 False
297.637, 130.240, 6.185,  6.689 False
297.432, 130.268, 6.217,  6.722 False
297.226, 130.297, 6.248,  6.755 False
297.019, 130.325, 6.280,  6.788 False
296.811, 130.355, 6.310,  6.821 False
296.602, 130.384, 6.342,  6.854 False
296.392, 130.413, 6.372,  6.887 False
296.181, 130.443, 6.403,  6.920 False
295.969, 130.473, 6.434,  6.953 False
295.756, 130.503, 6.465,  6.986 False
295.542, 130.534, 6.495,  7.019 False
295.327, 130.564, 6.526,  7.052 False
295.111, 130.596, 6.556,  7.085 False
294.894, 130.627, 6.588,  7.118 False
294.676, 130.658, 6.618,  7.151 False
294.457, 130.690, 6.649,  7.184 False
294.237, 130.721, 6.679,  7.217 False
294.016, 130.753, 6.709,  7.250 False
293.794, 130.785, 6.738,  7.283 False
293.571, 130.816, 6.767,  7.316 False
293.347, 130.848, 6.796,  7.349 False
293.122, 130.880, 6.826,  7.382 False
292.896, 130.913, 6.854,  7.415 False
292.669, 130.945, 6.884,  7.448 False
292.441, 130.977, 6.912,  7.481 False
292.212, 131.010, 6.941,  7.514 False
291.983, 131.042, 6.969,  7.547 False
291.752, 131.075, 6.999,  7.580 False
291.520, 131.107, 7.028,  7.613 False
291.288, 131.140, 7.057,  7.646 False
291.054, 131.172, 7.086,  7.679 False
290.819, 131.205, 7.116,  7.712 False
290.584, 131.238, 7.144,  7.745 False
290.347, 131.270, 7.174,  7.778 False
290.109, 131.303, 7.202,  7.811 False
289.871, 131.336, 7.232,  7.844 False
289.631, 131.368, 7.260,  7.877 False
289.391, 131.401, 7.290,  7.910 False
289.149, 131.434, 7.318,  7.943 False
288.907, 131.466, 7.347,  7.976 False
288.663, 131.498, 7.376,  8.009 False
288.419, 131.530, 7.405,  8.042 False
288.173, 131.562, 7.434,  8.075 False
287.927, 131.592, 7.461,  8.108 False
287.679, 131.620, 7.488,  8.141 False
287.430, 131.648, 7.518,  8.174 False
287.180, 131.676, 7.547,  8.207 False
286.930, 131.702, 7.576,  8.240 False
286.678, 131.727, 7.604,  8.273 False
286.425, 131.751, 7.632,  8.306 False
286.171, 131.774, 7.659,  8.339 False
285.915, 131.795, 7.689,  8.372 False
285.659, 131.815, 7.717,  8.405 False
285.402, 131.834, 7.747,  8.438 False
285.144, 131.851, 7.775,  8.471 False
284.884, 131.868, 7.805,  8.504 False
284.624, 131.882, 7.832,  8.537 False
284.362, 131.896, 7.863,  8.570 False
284.100, 131.907, 7.890,  8.603 False
283.836, 131.917, 7.920,  8.636 False
283.572, 131.927, 7.949,  8.669 False
283.306, 131.936, 7.980,  8.702 False
283.040, 131.944, 8.008,  8.735 False
282.772, 131.950, 8.037,  8.768 False
282.504, 131.956, 8.065,  8.801 False
282.234, 131.960, 8.095,  8.834 False
281.964, 131.964, 8.123,  8.867 False
281.692, 131.966, 8.153,  8.900 False
281.420, 131.967, 8.181,  8.933 False
281.146, 131.966, 8.210,  8.966 False
280.872, 131.965, 8.235,  8.999 False
280.597, 131.963, 8.256,  9.032 False
280.322, 131.961, 8.273,  9.065 False
280.046, 131.958, 8.285,  9.098 False
279.770, 131.953, 8.295,  9.131 False
279.493, 131.947, 8.303,  9.164 False
279.216, 131.941, 8.310,  9.197 False
278.940, 131.933, 8.316,  9.230 False
278.663, 131.925, 8.321,  9.263 False
278.385, 131.915, 8.325,  9.296 False
278.108, 131.905, 8.329,  9.329 False
277.831, 131.894, 8.332,  9.362 False
277.553, 131.883, 8.335,  9.395 False
277.276, 131.871, 8.338,  9.428 False
276.998, 131.858, 8.339,  9.461 False
276.721, 131.845, 8.341,  9.494 False
276.443, 131.831, 8.342,  9.527 False
276.165, 131.815, 8.344,  9.560 False
275.888, 131.800, 8.345,  9.593 False
275.610, 131.783, 8.346,  9.626 False
275.333, 131.766, 8.347,  9.659 False
275.055, 131.748, 8.348,  9.692 False
274.777, 131.729, 8.348,  9.725 False
274.500, 131.710, 8.349,  9.758 False
274.222, 131.692, 8.350,  9.791 False
273.944, 131.672, 8.350,  9.824 False
273.667, 131.653, 8.350,  9.857 False
273.389, 131.633, 8.350,  9.890 False
273.112, 131.612, 8.350,  9.923 False
272.834, 131.590, 8.350,  9.956 False
272.557, 131.569, 8.351,  9.989 False
272.279, 131.547, 8.351, 10.022 False
272.002, 131.525, 8.351, 10.055 False
271.724, 131.502, 8.351, 10.088 False
271.447, 131.480, 8.351, 10.121 False
271.170, 131.457, 8.351, 10.154 False
270.892, 131.434, 8.350, 10.187 False
270.615, 131.411, 8.350, 10.220 False
270.338, 131.387, 8.350, 10.253 False
270.060, 131.364, 8.350, 10.286 False
269.783, 131.340, 8.350, 10.319 False
269.506, 131.316, 8.350, 10.352 False
269.228, 131.291, 8.350, 10.385 False
268.951, 131.267, 8.349, 10.418 False
268.674, 131.243, 8.349, 10.451 False
268.397, 131.218, 8.349, 10.484 False
268.119, 131.194, 8.349, 10.517 False
267.842, 131.169, 8.349, 10.550 False
267.565, 131.143, 8.348, 10.583 False
267.288, 131.118, 8.348, 10.616 False
267.011, 131.093, 8.348, 10.649 False
266.734, 131.068, 8.347, 10.682 False
266.457, 131.042, 8.347, 10.715 False
266.180, 131.017, 8.347, 10.748 False
265.903, 130.991, 8.347, 10.781 False
265.626, 130.966, 8.346, 10.814 False
265.349, 130.940, 8.346, 10.847 False
265.072, 130.915, 8.346, 10.880 False
264.795, 130.889, 8.346, 10.913 False
264.518, 130.863, 8.345, 10.946 False
264.241, 130.838, 8.345, 10.979 False
263.964, 130.812, 8.345, 11.012 False
263.687, 130.786, 8.345, 11.045 False
263.410, 130.761, 8.344, 11.078 False
263.133, 130.735, 8.344, 11.111 False
262.856, 130.709, 8.344, 11.144 False
262.579, 130.684, 8.344, 11.177 False
262.302, 130.658, 8.343, 11.210 False
262.025, 130.633, 8.343, 11.243 False
261.748, 130.607, 8.343, 11.276 False
261.471, 130.583, 8.342, 11.309 False
261.194, 130.558, 8.342, 11.342 False
260.917, 130.533, 8.342, 11.375 False
260.640, 130.508, 8.342, 11.408 False
260.363, 130.483, 8.342, 11.441 False
260.086, 130.458, 8.342, 11.474 False
259.809, 130.433, 8.341, 11.507 False
259.532, 130.408, 8.341, 11.540 False
259.255, 130.384, 8.341, 11.573 False
258.978, 130.360, 8.341, 11.606 False
258.701, 130.336, 8.341, 11.639 False
